"Location.City","Location.State","Location.Country","Data.Shape","Data.Encounter duration","Data.Description excerpt","Location.Coordinates.Latitude ","Location.Coordinates.Longitude ","Dates.Sighted.Year","Dates.Sighted.Month","Date.Sighted.Day","Dates.Sighted.Hour","Dates.Sighted.Minute","Dates.Documented.Year","Dates.Documented.Month","Dates.Documented.Day"
"sterling heights","MI","US","changing","420.0","((HOAX))  We saw a UFO in the sky before landing&#44 and taking a human onto the ship.","42.5802778","-83.0302778","2009","8","15","0","25","2009","8","27"
"sterling heights","MI","US","circle","5.0","a black circle hoverring over an airplain for 4-5 second","42.5802778","-83.0302778","2007","9","21","13","0","2009","1","10"
"sterling heights","MI","US","circle","30.0","large star-like object becomes red and vanishes","42.5802778","-83.0302778","2008","8","3","23","0","2008","8","12"
"sterling heights","MI","US","circle","20.0","I saw an object I cannot explain with lights on it Zig zag&#44 hover&#44 abd speed of to the right in the sky","42.5802778","-83.0302778","2006","8","23","21","0","2006","10","30"
"sterling heights","MI","US","cylinder","1200.0","3 red/fireball like cylinders moving west over michigan.  ((NUFORC Note:  Report from law enforcement officer.  PD))","42.5802778","-83.0302778","2013","7","3","0","38","2013","7","3"
"sterling heights","MI","US","egg","10.0","Sometime in early 2003&#44 during the winter&#44 I had been living in an apartment on the 2nd floor of an apartment complex in Sterling Heigh","42.5802778","-83.0302778","2003","1","15","14","0","2010","2","14"
"sterling heights","MI","US","fireball","12.0","Saw five fireball objects flying at a low altitude and steady speed crossing from west toward the northeast.","42.5802778","-83.0302778","1999","11","16","19","0","1999","11","17"
"sterling heights","MI","US","fireball","90.0","Object traveling from west to east&#44 Very Large white/blue fireball with long yellow orange tail 4 smaller objects behind it.","42.5802778","-83.0302778","1999","11","16","19","6","1999","11","17"
"sterling heights","MI","US","flash","900.0","Many flashing objects moving in an oval pattern at high speeds.","42.5802778","-83.0302778","2007","12","19","20","0","2008","3","4"
"sterling heights","MI","US","light","30.0","Stars/lights moving then stopping then turning right angles all night","42.5802778","-83.0302778","2007","7","21","3","45","2007","8","7"
"sterling heights","MI","US","light","1.0","Thin red lights seen in the sky&#44 thicker than shooting star and deep red.","42.5802778","-83.0302778","2008","7","27","23","45","2008","8","12"
"sterling heights","MI","US","light","50.0","Observed two plasma like orbs of difused light moving East to west at afast clip and low altitude.","42.5802778","-83.0302778","2013","8","15","21","45","2013","8","30"
"sterling heights","MI","US","light","240.0","Strange light moves steadily&#44 stops&#44 restarts&#44 and then violently zig-zags and dissappears.","42.5802778","-83.0302778","2008","5","25","21","8","2008","6","12"
"sterling heights","MI","US","light","35.0","Home and Yard Lit up By Solid White Light&#44 Surrounded By Colored Lights  500 Lights On Object0: Yes","42.5802778","-83.0302778","2009","1","23","1","30","2009","3","19"
"sterling heights","MI","US","light","30.0","Bright light to tiny red light to nothing.","42.5802778","-83.0302778","2008","4","29","23","0","2008","6","12"
"sterling heights","MI","US","light","36.0","The object moved faster&#44 lower and the lights were brighter than an airplane.","42.5802778","-83.0302778","2004","2","13","3","0","2004","3","2"
"sterling heights","MI","US","light","300.0","2 orange objects over sterling hts&#44 mi","42.5802778","-83.0302778","2012","5","27","22","10","2012","5","29"
"sterling heights","MI","US","light","2.0","a bright light decending straight down","42.5802778","-83.0302778","2011","11","1","23","0","2011","12","12"
"sterling heights","MI","US","other","60.0","The object was moving from ESE to WNW and it had many lights","42.5802778","-83.0302778","2000","10","31","18","30","2000","12","2"
"sterling heights","MI","US","oval","120.0","A black unknown craft is seen in the sky over Sterling Hts. Michigan","42.5802778","-83.0302778","2012","10","10","19","9","2012","10","30"
"sterling heights","MI","US","teardrop","30.0","Two teardrop shape crafts with orange lights hovered over parking area. Stayed high up.","42.5802778","-83.0302778","2006","4","24","2","0","2006","5","15"
"sterling heights","MI","US","triangle","300.0","Triangle shape with red and green lights and a very bright red slowly pulsating light and no sound.","42.5802778","-83.0302778","2007","10","29","6","50","2007","11","28"
"sterling heights","MI","US","unknown","60.0","Red light moving and changing colors as it rotated over Sterling Heights&#44 Michigan.","42.5802778","-83.0302778","2014","4","13","0","24","2014","4","18"
"stevensville","MI","US","egg","60.0","Four Glowing craft in formation near stevensville MI","42.0144444","-86.5194444","2011","7","5","22","0","2011","7","17"
"stevensville","MI","US","light","180.0","Bright green light","42.0144444","-86.5194444","2013","8","12","22","25","2013","8","30"
"stockbridge","MI","US","unknown","10.0","a point of light that looked like what might be a satellite traveling from north to south","42.4511111","-84.1805556","2008","8","20","21","50","2008","10","31"
"stockbridge","MI","US","unknown","10.0","a point of light that looked like what might be a satellite traveling from north to south","42.4511111","-84.1805556","2008","9","10","21","50","2008","10","31"
