"Location.City","Location.State","Location.Country","Data.Shape","Data.Encounter duration","Data.Description excerpt","Location.Coordinates.Latitude ","Location.Coordinates.Longitude ","Dates.Sighted.Year","Dates.Sighted.Month","Date.Sighted.Day","Dates.Sighted.Hour","Dates.Sighted.Minute","Dates.Documented.Year","Dates.Documented.Month","Dates.Documented.Day"
"new york city","NY","US","changing","1200.0","At first we saw from our car one bright opalic light on a perfect clear sky. The shape was like a comet &#44 being steady. We got to a hig","40.7141667","-74.0063889","2006","2","19","17","30","2006","3","11"
"new york city","NY","US","changing","120.0","Strange Line Over Manhattan","40.7141667","-74.0063889","2003","11","8","20","0","2003","11","26"
"new york city","NY","US","changing","120.0","Single black flying object&#44 alternating between circular and disclike shape&#44 constant velocity seen over NYC.","40.7141667","-74.0063889","2002","7","28","20","10","2002","7","30"
"new york city","NY","US","changing","600.0","Above My building 4 metallic crafts were observed flying low level and adjacent to each other. THey changed shapes 3 times before takin","40.7141667","-74.0063889","2002","4","23","23","34","2002","4","25"
"new york city","NY","US","changing","600.0","Objects seen after WTC disaster in calm NEW YORK sky.","40.7141667","-74.0063889","2001","9","20","15","0","2002","3","19"
"new york city","NY","US","changing","600.0","Strange thing that changed into a pearl.","40.7141667","-74.0063889","1985","4","1","15","0","2005","10","11"
"new york city","NY","US","changing","600.0","a report of the incident that occurred today&#44 December 15th 2000 involving a siting of unknown flying objects over New York City.","40.7141667","-74.0063889","2000","12","15","16","20","2000","12","20"
"new york city","NY","US","chevron","120.0","Night of the lunar eclipse&#44 we saw in the sky two gray v-shaped objects flying side-by-side&#44 no lights&#44 no sound.","40.7141667","-74.0063889","2004","10","27","22","15","2004","11","2"
"new york city","NY","US","cigar","720.0","cigar like encounter","40.7141667","-74.0063889","1992","6","1","8","15","2001","10","12"
"new york city","NY","US","cigar","900.0","the ufo I saw on dec&#44 21&#44 1962  in NYC has never appeared on any website I could find","40.7141667","-74.0063889","1962","12","21","23","21","2005","11","3"
"new york city","NY","US","cigar","900.0","Star-like object in blue New York City sky.","40.7141667","-74.0063889","2001","6","18","16","50","2001","8","5"
"new york city","NY","US","cigar","3600.0","Lights over New York City","40.7141667","-74.0063889","2003","9","6","23","30","2003","9","9"
"new york city","NY","US","circle","2700.0","Large&#44 intense stationary bright light seemed to fade in and out over New Jersey.","40.7141667","-74.0063889","2007","6","23","17","0","2007","8","7"
"new york city","NY","US","circle","30.0","Blue disc with fire trails moving toward the earth and vanishing.","40.7141667","-74.0063889","2003","8","19","2","0","2003","8","28"
"new york city","NY","US","circle","900.0","Light was traveling and huvering fast &#44 slow&#44 steady. fast one direction&#44 stopping for about 5 secs&#44 then speeding in another direction","40.7141667","-74.0063889","2011","4","15","23","50","2011","5","2"
"new york city","NY","US","circle","10.0","UFO and Black Choppers over New York","40.7141667","-74.0063889","2001","3","18","14","50","2001","4","1"
"new york city","NY","US","circle","1.0","A diving white ball of light&#44 headed North.","40.7141667","-74.0063889","2001","9","16","20","15","2001","10","12"
"new york city","NY","US","cross","5.0","In a V Shaped Formation In the night sky&#44 Lasted about 2 seconds then bursted into a light ball that lasted about another 2 seconds.","40.7141667","-74.0063889","2007","2","27","22","30","2007","3","8"
"new york city","NY","US","cylinder","300.0","Ominous cylinders in the western sky.  ((NUFORC Note:  Possibly not a serious-minded report?  PD))","40.7141667","-74.0063889","2009","4","21","9","5","2009","5","12"
"new york city","NY","US","disk","120.0","As reported by several people from around the world&#44 we witnessed something the day of the terrorist attacks on TV&#44 viewed only once an","40.7141667","-74.0063889","2001","9","11","8","45","2001","10","12"
"new york city","NY","US","disk","240.0","Saucer Shaped Object Seen Near George Washington Bridge NYC","40.7141667","-74.0063889","2013","4","20","17","0","2014","2","21"
"new york city","NY","US","disk","180.0","Recorded UFO siteing by the empire state building","40.7141667","-74.0063889","2002","8","10","1","45","2002","8","16"
"new york city","NY","US","disk","180.0","I saw and video recorded 3 metalic sacuer shape objects flying by the empire state building.","40.7141667","-74.0063889","2002","8","10","13","0","2003","3","21"
"new york city","NY","US","disk","20.0","the event took place on this date and i have a copy of a video that was shown on tv in the univision network.it was an almost mid-air c","40.7141667","-74.0063889","2001","7","24","12","0","2001","8","5"
"new york city","NY","US","disk","120.0","I remember it so well to this day.  I was in class getting ready for the day&#39s dismissal time at 3 pm.  All of us had our coats on and","40.7141667","-74.0063889","1968","3","1","15","0","2005","9","15"
"new york city","NY","US","disk","120.0","((HOAX??))  round&#44high&#44orange.manhattan","40.7141667","-74.0063889","2009","1","2","23","15","2009","3","19"
"new york city","NY","US","disk","15.0","a flying colorful disc above my car&#44 near Erie.  ((NUFORC Note:  Possible hoax??  PD))","40.7141667","-74.0063889","1994","10","1","13","13","2007","6","12"
"new york city","NY","US","disk","15.0","Disk Shaped object streaked across Central Park","40.7141667","-74.0063889","1985","10","31","20","30","2003","3","21"
"new york city","NY","US","disk","60.0","In Battery Park saw Bronze colored Saucer In sky","40.7141667","-74.0063889","1999","6","18","17","15","1999","7","5"
"new york city","NY","US","disk","60.0","Dark&#44 silent cylinder/worm shape over NYC the night of the eclipse","40.7141667","-74.0063889","2003","11","8","20","30","2003","12","9"
"new york city","NY","US","egg","60.0","no light and moved very slowly","40.7141667","-74.0063889","1994","8","25","12","0","2000","6","6"
"new york city","NY","US","egg","300.0","Observation of egg blimp shapped object in front of World Trade Center Towers&#44 NY.  Possibly a second sighting.","40.7141667","-74.0063889","1994","8","25","11","45","2000","6","21"
"new york city","NY","US","fireball","420.0","A red&#44 glowing object hovering above the East River. It then dropped into the river&#44 and its glow could still be seen after the object","40.7141667","-74.0063889","1998","9","24","22","30","1998","9","26"
"new york city","NY","US","fireball","5.0","huge blue shooting star","40.7141667","-74.0063889","2004","2","14","19","30","2004","3","17"
"new york city","NY","US","fireball","300.0","green glowing low flying star shape is unmistakeably a ufo","40.7141667","-74.0063889","2009","6","7","2","30","2009","12","12"
"new york city","NY","US","fireball","3.0","Like a shooting star but slowed down&#44 hovered an instant&#44 changed directions&#44 another quick hover&#44 changed directions again then sped o","40.7141667","-74.0063889","2006","9","11","23","0","2007","8","7"
"new york city","NY","US","fireball","1.0","Fireball flashed and streaked across the Manhattan sky northward and disappeared in a little over a second","40.7141667","-74.0063889","2004","6","27","21","45","2004","7","8"
