"Location.City","Location.State","Location.Country","Data.Shape","Data.Encounter duration","Data.Description excerpt","Location.Coordinates.Latitude ","Location.Coordinates.Longitude ","Dates.Sighted.Year","Dates.Sighted.Month","Date.Sighted.Day","Dates.Sighted.Hour","Dates.Sighted.Minute","Dates.Documented.Year","Dates.Documented.Month","Dates.Documented.Day"
"winchester","WI","US","circle","300.0","Orange glowing circle in the sky","44.1986111","-88.6647222","1995","6","20","23","0","2006","7","16"
"winchester","WI","US","light","60.0","Bright weaving object seen passing from WSW to ENE in northern Wisconsin","44.1986111","-88.6647222","2003","5","21","22","45","2003","5","27"
"wind lake","WI","US","disk","1800.0","Disk hovering over field","42.8294444","-88.1586111","1980","10","9","6","45","2004","10","27"
"wind lake","WI","US","fireball","900.0","Glowing ball with a red glowing top. They appeared to be translucent.  Disappeared quickly.","42.8294444","-88.1586111","2011","7","30","21","20","2011","8","7"
"winneconne","WI","US","light","30.0","Possible UFO over east central Wisconsin","44.1108333","-88.7125","2011","2","14","19","20","2011","2","18"
"winter","WI","US","fireball","120.0","Firey colored spherical moving object with unheard of propalsion","45.8197222","-91.0116667","2011","8","5","23","0","2011","8","21"
"winter","WI","US","rectangle","300.0","Flying fire rectangular object","45.8197222","-91.0116667","2011","8","4","22","10","2011","8","21"
"wisconsin dells","WI","US","cylinder","300.0","12:00 noon.on my wayback to work for lunch. i was on a tractor when something caught my eye above some tall pine trees...a cylinder sha","43.6275","-89.7708333","2006","6","5","12","0","2006","10","30"
"wisconsin dells","WI","US","egg","120.0","A giant egg shape trail moving slowly side to side and left after a couple minutes","43.6275","-89.7708333","2002","6","28","21","0","2002","9","13"
"wisconsin dells","WI","US","light","4.0","Three sightings of three to four orange round lights in a line that moved in the night sky and then disappeared.","43.6275","-89.7708333","2001","3","19","21","0","2001","4","1"
"wisconsin dells","WI","US","light","1200.0","6 Rapidly moving lights... then down to 1","43.6275","-89.7708333","2000","2","17","19","35","2000","3","16"
"wisconsin dells","WI","US","light","37800.0","We saw 10 or more&#44 very bright&#44 beautifully colored round lights&#44 darting very fast back and forth across the sky.","43.6275","-89.7708333","2003","1","14","19","0","2003","3","4"
"wisconsin dells","WI","US","sphere","7.0","5 orange orbs headind north at a good clip&#44over campground","43.6275","-89.7708333","2011","7","9","23","0","2011","7","17"
"wisconsin dells","WI","US","sphere","120.0","reddish&#44 orange&#44 orb.heading south to north&#44at low altitude..1000 to 1500 ft.&#44no sound &#44noticed white starlike orb traveling at a much","43.6275","-89.7708333","2011","10","8","22","0","2011","10","19"
"wisconsin dells","WI","US","triangle","900.0","4 Triangular shapes above Wisconsin Dells","43.6275","-89.7708333","2011","7","11","22","40","2011","7","17"
"wisconsin dells","WI","US","unknown","5.0","String of lights","43.6275","-89.7708333","2011","11","16","18","0","2011","12","12"
"wisconsin dells","WI","US","unknown","1200.0","Silent&#44 rotating lights&#44 strange movements and speed. Witnessed by 2 police officers.","43.6275","-89.7708333","2003","2","23","0","10","2003","3","4"
"wisconsin dells","WI","US","unknown","60.0","Triangle shaped lights going in sequence.","43.6275","-89.7708333","2013","11","15","21","25","2013","11","20"
"wisconsin rapids","WI","US","light","30.0","Strange orange lights over Wisconsin Rapids.","44.3836111","-89.8172222","2012","3","20","22","0","2012","5","13"
"wisconsin rapids","WI","US","other","300.0","Glowing red object flying across sky ten times faster then jet&#33&#33&#33&#33&#33&#33","44.3836111","-89.8172222","2001","6","13","23","10","2001","8","5"
"wisconsin rapids","WI","US","sphere","900.0","I&#39M REPORTING THIS BECAUSE ON ART BELL&#39S SATURDAY&#44 JULY 31 SHOW&#44 SEVERAL CALLERS IN OTHER AREAS REPORTED SEEING AN OBJECT SIMILAR TO WH","44.3836111","-89.8172222","2004","7","20","1","0","2004","8","11"
"wisconsin rapids","WI","US","triangle","10.0","Large&#44low flying triangle","44.3836111","-89.8172222","2002","8","2","21","30","2002","10","28"
"wisconsin rapids","WI","US","unknown","240.0","Bright light flying accross the sky at speeds approx. 50 times that of an aircraft","44.3836111","-89.8172222","2010","2","25","9","15","2010","4","13"
"wittenberg","WI","US","light","300.0","Bright&#44 Flashing&#44 Red light in the Night sky Heading West&#44 then North then was Slowing down.","44.8272222","-89.1694444","2013","5","24","0","0","2013","6","2"
"woodville","WI","US","unknown","1209600.0","Red blinking objects similar to airplanes or stars that does not move newly appeared in sky two weeks ago.","44.9530556","-92.2911111","2011","11","3","19","21","2011","12","12"
"alloy","WV","US","disk","10.0","Saucer seen briefly over road - may have landed","38.1375","-81.2744444","1980","11","22","11","0","2004","6","4"
"anjean","WV","US","oval","240.0","We were standing by our car parked at Anjean&#44 WV waiting for my brother after a good day of ruff grouse hunting. The first saucer came","38.02","-80.6333333","1968","1","15","17","30","2009","3","19"
"ansted","WV","US","light","240.0","Bizarre light in small town that changed colors&#44 other strange sightings within the same week.","38.1361111","-81.0997222","2002","6","22","21","0","2012","11","19"
"ansted","WV","US","light","1800.0","Multicolored flashing light on cloudy night.","38.1361111","-81.0997222","2012","11","17","23","30","2012","11","19"
"ansted","WV","US","light","15.0","Bright blue light near Jupiter&#44 appeared and disappeared in a matter of seconds.","38.1361111","-81.0997222","2012","11","8","22","45","2012","11","19"
"ansted","WV","US","unknown","600.0","bright light in sky no stars seen moved around and changed colors then suddenly vanished","38.1361111","-81.0997222","2002","6","22","21","0","2005","9","2"
"ashton","WV","US","sphere","180.0","2 UFOs in rural WV town moving in motions impossible by normal aircraft.","38.6241667","-82.1647222","2008","1","21","8","0","2008","2","14"
"augusta","WV","US","cylinder","120.0","Rod or cylindrical object seen heading from NW to SE. Object was white on either end with a darker division in the center.","39.2952778","-78.6380556","2013","9","6","16","0","2013","9","9"
"barboursville","WV","US","cylinder","5.0","Fast moving cylinder object vanishes into sky.","38.4094444","-82.2947222","1985","6","19","20","30","2011","6","20"
"barboursville","WV","US","fireball","300.0","4 fireballs seen about 60 seconds a piece they were reddish orange and was about 4 or 5 mins apart .","38.4094444","-82.2947222","2013","7","6","1","0","2013","7","14"
"barboursville","WV","US","light","120.0","There was a weird sound and blue flashing light.","38.4094444","-82.2947222","2011","2","18","10","0","2011","2","23"
"barboursville","WV","US","oval","10.0","Large oval object lands in Barboursville WV","38.4094444","-82.2947222","2012","3","19","0","20","2012","5","13"
"barboursville","WV","US","oval","10.0","Large oval object spotted and possibly landed in Barboursville WV","38.4094444","-82.2947222","2012","3","19","0","20","2012","5","13"
"barboursville","WV","US","sphere","240.0","Spherical UFO&#44 fall of 1967&#44 Barboursville&#44W.Va.","38.4094444","-82.2947222","1967","7","16","14","0","2007","2","1"
"beaver","WV","US","disk","900.0","silver&#44 gray&#44 twice car size&#44 round discus&#44 silent&#44 gas ring around craft&#44 white lights around middle&#44 windows?&#44 green/blue light","37.7475","-81.1425","2001","10","28","0","28","2003","3","21"
"beaver","WV","US","disk","900.0","Silver disk. lights in middle&#44 windows&#44 gaseous haze around disk","37.7475","-81.1425","2001","10","28","0","28","2005","6","20"
"beaver","WV","US","other","2700.0","Large luminous cloud like object moved slowly across the sky.    ((NUFORC Note:  Result of earlier missile launch.  PD))","37.7475","-81.1425","2004","8","31","21","0","2004","9","1"
"beckley","WV","US","circle","20.0","Oval object traveling East to West","37.7780556","-81.1883333","2004","2","16","5","0","2004","3","2"
"beckley","WV","US","circle","10.0","I saw an amazing bright  flouescent  green fireball fall to the earth from the south on a clear night that took only seconds.","37.7780556","-81.1883333","2003","10","20","20","45","2003","10","31"
"beckley","WV","US","formation","30.0","There was a boom at about 4:06pm that was felt in 3 different counties and tonight well at 12:40am on 2/5/14 I went out to look at the","37.7780556","-81.1883333","2014","2","5","0","40","2014","2","7"
"beckley","WV","US","light","30.0","a really bright star that moved about a second after we noticed it&#44 at a slow speed till it crossed the horizon","37.7780556","-81.1883333","2004","7","5","21","0","2005","7","13"
"beckley","WV","US","other","240.0","Silent&#44 low flying helicopter with light scanning below","37.7780556","-81.1883333","1996","8","15","20","30","2011","1","31"
"beckley","WV","US","other","5400.0","Over a period of 1.5 hours last night&#44 we watched a total of 8 separate star-type lights in the northeast and southwest areas of our sk","37.7780556","-81.1883333","1999","9","3","0","0","1999","9","12"
"beckley","WV","US","rectangle","5.0","I was driving down S. Kanawha St about 8:45. My friend and I suddenly saw a huge glowing flourescent green flash shooting down from the","37.7780556","-81.1883333","2003","10","20","20","45","2003","10","31"
"beckley","WV","US","triangle","300.0","Two lighted upsidedown V&#39s in sky side by side with UFO craft at tip.","37.7780556","-81.1883333","2005","9","23","16","37","2005","10","11"
"beckley","WV","US","unknown","60.0","Sighted an object that could only be seen through the lens of sunglasses.  Appeared as a bright star.","37.7780556","-81.1883333","2004","6","3","12","23","2004","6","4"
"belington","WV","US","cylinder","180.0","Silver streak. Imagine taking a pencil and drawing just a basic line in the sky. it was about an inch long from my perception of vision","39.025","-79.9358333","2012","9","20","20","35","2012","9","24"
"belle","WV","US","triangle","5.0","Something in the sky in Belle&#44 WV.","38.2319444","-81.5377778","2013","12","25","18","30","2014","1","10"
"belo","WV","US","light","180.0","Red orange lights in the wv sky","37.7741667","-82.2377778","2013","8","24","21","20","2013","8","30"
"benwood","WV","US","cigar","120.0","Bright&#44 large white light &amp; also green light.","40.0180556","-80.7344444","2011","2","16","0","30","2011","2","18"
"berkeley springs","WV","US","light","600.0","bright star-like moving object turning into bright light&#44 then vanishes to the stars again","39.6269444","-78.2275","2010","7","10","21","30","2010","7","19"
"beverly","WV","US","fireball","60.0","A momentary sighting of a large bright circular object flying through the sky.","38.8405556","-79.8755556","2002","12","2","5","10","2002","12","23"
"bluefield","WV","US","fireball","40.0","AS MY WIFE AND I WERE COMING BACK FROM MY FAMILIES HOUSE IN MCDOWELL COUNTY&#44 WE TOOK THE EXIT TO GO TO OUR HOUSE IN THE CITY OF PRINCET","37.2697222","-81.2225","2006","4","23","11","45","2006","5","15"
"bluefield","WV","US","other","20.0","dark to light brown &quot;rounded boomerrang&quot; or crescent moon shaped object moves silently overhead.","37.2697222","-81.2225","2005","3","14","23","0","2005","5","11"
"boomer","WV","US","circle","720.0","Lights in small town looks like that of the New Years Eve ball.","38.1505556","-81.2875","2013","11","16","19","0","2013","11","20"
"branchland","WV","US","triangle","300.0","A brightly lighted&#44 fast moving&#44 triangular object.","38.2208333","-82.2038889","2006","1","11","23","52","2006","2","14"
"brandywine","WV","US","light","90.0","Between 0515-0520 a bright light much brighter than the stars was spotted five miles outside NIOC Sugar Grove&#44 a Naval communicati","38.6247222","-79.245","2010","8","22","5","18","2010","8","24"
"bridgeport","WV","US","light","300.0","Bright planet size light hovering above hill before getting bighter then dim shooting high and out of sight.","39.2863889","-80.2563889","2013","8","26","22","0","2013","8","30"
"bruceton mills","WV","US","oval","30.0","Glowing object in sky soared across night sky then vanished.","39.6586111","-79.6413889","2007","1","17","20","45","2007","2","1"
"buckhannon","WV","US","circle","7200.0","One floatint object overhead and 17 disk shaped objects going into it.","38.9938889","-80.2322222","2006","8","19","23","0","2009","1","10"
"buckhannon","WV","US","formation","900.0","UFOs Observed Over Buckhannon&#44 WV - September 2012","38.9938889","-80.2322222","2012","9","26","19","0","2012","10","30"
"buckhannon","WV","US","triangle","120.0","A rather large triangular shaped disk was noticed about 800 yards away hovering at the level of tree tops.  Me and a friend began to ex","38.9938889","-80.2322222","1996","6","22","22","30","1998","3","7"
"burlington","WV","US","other","6.0","Driving home from town and looked to my left and saw a circular object with a dome-shape on top.  It was eye-level but the funny thing","39.3375","-78.9183333","1999","6","3","13","30","1999","8","10"
"burlington","WV","US","triangle","60.0","05/15/03 24:30 Burlington&#44 W.V. Bright red glowing triangle&#44 hovered&#44circled &#44emitted warm air.","39.3375","-78.9183333","2003","5","15","0","30","2003","8","28"
"cabin creek","WV","US","unknown","40.0","Three big white lights with a set of twinkling lights. Craft was hovering then moved at slow pace. Then it disappeared at of then air.","38.1958333","-81.4777778","2012","10","12","21","45","2012","10","30"
"cairo","WV","US","circle","20.0","Rotating in circles and then disappeared after about 15 seconds.","39.2086111","-81.1575","2000","1","20","10","39","2000","1","22"
"cairo","WV","US","fireball","2.0","I just saw a bright green light moving across the sky from east to west&#44 south of town then it exploded into orange sparks. It was prob","39.2086111","-81.1575","2001","4","28","11","48","2001","8","5"
"cairo","WV","US","triangle","180.0","Bright&#44 triangle object in clear November sky over secluded ridge","39.2086111","-81.1575","2005","11","4","4","30","2005","11","8"
"cameron","WV","US","triangle","300.0","((HOAX??))  The objects were floating above a pond and continued to float there for around 5 minutes.","39.8269444","-80.5666667","2007","12","12","1","0","2008","3","4"
"capon bridge","WV","US","light","14400.0","Single bright celestial light with dramatic movement observed for four hours in West Virginia","39.2980556","-78.4363889","2007","4","21","23","30","2007","4","27"
"carolina","WV","US","disk","120.0","Up close account of a disk like object&#33","39.4802778","-80.2736111","1982","7","28","11","0","2006","12","14"
"ceredo","WV","US","chevron","60.0","My son&#44 age six&#44 and my self walked outside on my patio to view the sky because we was told there was going to be a meteor shower tonig","38.3963889","-82.5588889","2013","10","8","20","0","2013","10","14"
"chapmanville","WV","US","fireball","900.0","Orange fireball UFO&#44 changed shape to triangle&#44 spinning like a boomerang.","37.9736111","-82.0175","2012","11","19","19","0","2012","12","20"
"charles town","WV","US","chevron","900.0","Hazy blue then bright white darting light","39.2888889","-77.86","2009","8","9","22","30","2009","8","27"
"charles town","WV","US","circle","2.0","Like a falling star but not.  It&#39s fastest object I&#39ve ever seen.","39.2888889","-77.86","2013","6","4","12","35","2013","7","3"
"charles town","WV","US","light","3.0","I would have reported this sooner if I had knon there was somewhere to report it. I was looking out my bedroom window when I saw a whit","39.2888889","-77.86","2002","6","5","23","35","2002","7","30"
"charleston","WV","US","circle","3600.0","Very bright circular object hovering over the town of Charleston&#44 WV on Xmas night&#33  ((NUFORC Note:  Star or planet??  PD))","38.3497222","-81.6327778","2011","12","25","20","0","2012","1","12"
"charleston","WV","US","circle","180.0","blueish and white orb","38.3497222","-81.6327778","2005","12","28","5","0","2006","7","16"
"charleston","WV","US","cylinder","2700.0","it had a transparent covering with 4 lights inside it that glowed 1 bright at a time &#44 but all were visible.","38.3497222","-81.6327778","2002","7","31","20","0","2002","10","28"
"charleston","WV","US","fireball","5.0","A bright green fireball flew across the sky. It was about the size of the full moon and looked much brighter.","38.3497222","-81.6327778","1998","7","27","4","40","1998","11","21"
"charleston","WV","US","fireball","120.0","Me and my friends were playing some football in our yard and","38.3497222","-81.6327778","1998","11","27","15","35","1999","1","28"
"charleston","WV","US","formation","300.0","5 orange lights observed moving S to N before independently disappearing","38.3497222","-81.6327778","2014","5","1","16","45","2014","5","2"
"charleston","WV","US","oval","1800.0","statinary object&#44strange plasma lights that moved slowly from left to right&#44 not airplane&#44 maybe satelite","38.3497222","-81.6327778","2008","4","17","22","15","2008","6","12"
"charleston","WV","US","oval","60.0","Bright Amber light in the sky.","38.3497222","-81.6327778","2013","11","5","22","15","2013","11","11"
"charleston","WV","US","sphere","900.0","3 bright&#44orange objects with comet-like tails&#44 movingtoward earth&#44 then toward each other&#44 thenhorizontally&#44 east to s.west","38.3497222","-81.6327778","1997","3","11","18","30","1998","3","7"
"charleston","WV","US","triangle","180.0","Lights appeared in a triangular shape.","38.3497222","-81.6327778","2013","8","31","0","3","2013","9","30"
"charleston","WV","US","triangle","120.0","Solid triangular lights or light on the underbody","38.3497222","-81.6327778","2013","3","1","23","0","2013","5","15"
"charleston","WV","US","triangle","10.0","V shaped&#44 silent fast moving orb formation.","38.3497222","-81.6327778","2011","11","23","22","45","2011","12","12"
"charleston","WV","US","triangle","10.0","Blue Triangle over WV.","38.3497222","-81.6327778","2013","5","30","23","30","2013","7","3"
"charleston","WV","US","unknown","7.0","I could not see the craft just Two pale yellow sets of triangle lights on the bottem not a air plane not a helicopter moved to slow and","38.3497222","-81.6327778","2014","4","30","1","10","2014","5","2"
"charleston","WV","US","unknown","20.0","Bright light entering cloud with major lightning activity and disappearing.","38.3497222","-81.6327778","2012","3","19","6","20","2012","5","13"
"charleston","WV","US","unknown","20.0","Craft moving gracefully but with unusual speed&#44 and very quiet&#44 shining multi-colored lights wildly.","38.3497222","-81.6327778","2010","6","21","1","15","2010","6","23"
"charleston","WV","US","unknown","120.0","2 bright lights seen flying over Charleston&#44 WV.","38.3497222","-81.6327778","2013","7","7","21","50","2013","10","14"
"charleston","WV","US","unknown","900.0","Strange Set of 2 Lights In The Sky Located Off Campbells Creek Drive&#44 Charleston WV","38.3497222","-81.6327778","2012","9","16","22","20","2012","9","24"
"chester","WV","US","circle","60.0","a ball of white bright light","40.6130556","-80.5630556","2005","1","1","19","0","2005","1","19"
"chester","WV","US","light","420.0","Observed steady&#44 stationary red light in the sky for several minutes; pulsed &amp; disappeared in 3-4 seconds","40.6130556","-80.5630556","2009","7","4","22","38","2009","8","5"
"chester","WV","US","light","420.0","Large&#44 steady red light. Observed 6 minutes minimal motion&#44 accelerated and disappeared in 10 seconds.","40.6130556","-80.5630556","2009","7","4","22","39","2009","8","5"
"chester","WV","US","light","900.0","Three UFOs in formation seen by many on the night of July 4&#44 2008 in Chester&#44 WV.","40.6130556","-80.5630556","2008","7","4","22","50","2008","8","12"
"clarksburg","WV","US","circle","120.0","Round&#44 pulsating orange object in the sky -- no noise","39.2805556","-80.3447222","2013","2","2","20","0","2013","2","18"
"clarksburg","WV","US","circle","120.0","Large Disc hovering over a National Guard Armoy for 2 minutes then gone.","39.2805556","-80.3447222","1985","5","15","20","0","2005","10","11"
"clarksburg","WV","US","disk","30.0","Silver glowing disk hovering in the sky above Clarksburg&#44 WV.","39.2805556","-80.3447222","2012","12","20","22","30","2013","8","30"
"clarksburg","WV","US","disk","7200.0","Asatched the light travel back and forth and uyou could see no craft. When the light went off&#44 oh my God.","39.2805556","-80.3447222","1979","11","22","23","0","2011","1","5"
"clarksburg","WV","US","oval","5400.0","tHE OBJECT MOVED FROM SIDE TO SIDE AND UP AND DOWN AND WAS GONE IN A FLASH","39.2805556","-80.3447222","1980","11","21","0","0","2008","2","14"
"clarksburg","WV","US","oval","300.0","three orange glowing balls.","39.2805556","-80.3447222","2011","1","1","0","0","2011","1","5"
"clarksburg","WV","US","unknown","360.0","A  &quot;star&quot; that  wasnt a star","39.2805556","-80.3447222","2002","7","6","23","0","2002","7","26"
"colliers","WV","US","disk","180.0","There was a lighted object in the summer sky; I knew it couldn&#39t be ours.","40.3669444","-80.5413889","1974","8","25","21","0","2002","12","23"
"cowen","WV","US","sphere","60.0","Blue sphere","38.4094444","-80.5580556","2012","3","23","20","30","2012","5","13"
"craigsville","WV","US","light","120.0","((NUFORC Note:  Possible sighting of Intl. Space Station.  PD))  07/04/05 &#44 11.:00pm&#44 Craigsville WV&#44 craft traveling high&#44 2 min&#44","38.3305556","-80.6533333","2005","7","4","23","0","2005","7","5"
"crawley","WV","US","light","180.0","The ufo was very bright and made no sound what so ever.and at times my new fully charged spot light would go out or get real dim.","37.9347222","-80.6522222","2012","11","21","18","0","2012","12","20"
"cross lanes","WV","US","cylinder","300.0","Noticed a very shiny object at a very high altitude that looked like a strange jet. It left a contrial and moved across the sky at abou","38.4202778","-81.7908333","1999","3","23","18","15","1999","4","2"
"cross lanes","WV","US","light","4.0","Orangish Objects Zig Zag across the sky as fast as a shooting star.","38.4202778","-81.7908333","2010","10","19","23","0","2012","9","24"
"cross lanes","WV","US","other","180.0","Orange polygon shaped aircraft.","38.4202778","-81.7908333","2013","5","23","20","15","2013","6","2"
"cross lanes","WV","US","oval","900.0","Hovering Orb","38.4202778","-81.7908333","2007","5","23","15","30","2007","6","12"
"cross lanes","WV","US","triangle","120.0","It was triangular and had lights on all corners with a glow coming from the center","38.4202778","-81.7908333","2012","6","22","9","0","2012","7","4"
"crown hill","WV","US","triangle","420.0","One huge Black triange with white lights followed by a second smaller triangle with blue lights","38.2","-81.4138889","2007","10","20","20","20","2008","3","4"
"culloden","WV","US","unknown","300.0","We had been to a bonfire on a friends farm.  As we were returning home&#44 we were passing through this small town when I looked at the dr","38.42","-82.0555556","1978","11","1","3","0","2001","8","5"
"danese","WV","US","unknown","300.0","Traveling at a speed of 1500 MPH and stopping instantly displaying Super Bright Search Lights no Noise.","37.9305556","-80.9033333","1971","7","14","22","0","2006","10","30"
"daniels","WV","US","light","1800.0","18:20 hours&#44 235 degrees southwest twinkling and moving object seen.","37.7430556","-81.1230556","2007","12","31","18","20","2008","2","14"
"daniels","WV","US","unknown","60.0","Small white light floats at constant speed in straight line over Daniels&#44 WV.","37.7430556","-81.1230556","2012","6","6","23","0","2012","6","8"
"davis","WV","US","light","600.0","Large Flickering Light","39.1286111","-79.465","2009","10","15","22","0","2010","4","13"
"dunbar","WV","US","light","1800.0","Orange light over Charleston&#44 WV area","38.3605556","-81.7375","2011","7","13","22","0","2011","7","17"
"dunbar","WV","US","light","300.0","2 singular lights traveling south to north with a third appearing to go straight up till fading out.","38.3605556","-81.7375","2001","10","3","20","20","2001","10","12"
"edray","WV","US","light","25.0","Intensely bright red light in the sky which hovered shortly direclty overhead and was seen again in woods minutes later","38.2744444","-80.0916667","2011","3","8","23","35","2012","3","13"
"eleanor","WV","US","cigar","120.0","Driving In Car when it appeared appeared in sky. It was long and silver with a long black line in the middle.","38.5375","-81.9325","1999","8","15","16","0","2002","7","1"
"elizabeth","WV","US","circle","420.0","My friend and i where in a car at 1:30 and a bright white flashing light.","39.0633333","-81.3952778","2007","1","20","1","0","2007","2","1"
"elkins","WV","US","changing","900.0","Explosive cloud over  West Virginia&#44 high altitude?    ((NUFORC Note:  Result of earlier missile launch.  PD))","38.9258333","-79.8469444","2004","8","31","21","0","2004","9","1"
"elkins","WV","US","circle","60.0","My wife was outside smoking a cigarette while I was in my office.  She knocked on window and I immediately went outside because she had","38.9258333","-79.8469444","2011","5","27","21","5","2011","5","29"
"elkins","WV","US","egg","5.0","Dark gray &amp;quot;egg&amp;quot; spotted hovering in daytime sky&#44 disappears suddenly","38.9258333","-79.8469444","2013","7","19","17","0","2013","8","30"
"elkins","WV","US","light","15.0","3 white lights in triangular formation + rapid independent movement seen over Elkins&#44 WV","38.9258333","-79.8469444","2010","2","6","21","40","2010","2","14"
"enterprise","WV","US","oval","10.0","3 separate sightings: blue jellyfish and two red globes","39.4208333","-80.2780556","2012","2","6","1","0","2012","3","13"
"eskdale","WV","US","unknown","30.0","Bright like an arc welder","38.0911111","-81.4438889","2012","5","18","23","0","2012","5","29"
"evans","WV","US","changing","1200.0","Changing orange object over treeline.","38.8202778","-81.7797222","2002","7","26","23","50","2002","8","16"
