"Location.City","Location.State","Location.Country","Data.Shape","Data.Encounter duration","Data.Description excerpt","Location.Coordinates.Latitude ","Location.Coordinates.Longitude ","Dates.Sighted.Year","Dates.Sighted.Month","Date.Sighted.Day","Dates.Sighted.Hour","Dates.Sighted.Minute","Dates.Documented.Year","Dates.Documented.Month","Dates.Documented.Day"
"waupaca","WI","US","unknown","180.0","Lights &quot;turning on&quot; in sequence&#44 disappearing at once","44.3580556","-89.0858333","2006","3","5","17","30","2006","5","15"
"waupun","WI","US","light","240.0","Lights 6-8 going from right to left with whole object moving from right to left slowly in air (pretty wide object)","43.6333333","-88.7294444","2007","8","30","21","0","2007","10","8"
"wausau","WI","US","circle","15.0","UFO that looked like a very big green shooting star with a red and blue trail.","44.9591667","-89.63","2001","7","31","23","30","2001","8","5"
"wausau","WI","US","light","15.0","Twice I saw a light zoom from my tree&#44 once to a series of branches&#44 the ground&#44 and it disappeared both times.","44.9591667","-89.63","2008","11","29","0","30","2009","1","10"
"wausau","WI","US","oval","2700.0","3 &quot;headlights&quot; and 1 red light on the &quot;back&quot;. It was a metallic chrome with hardly any sound&#44 very slow and low to the ground","44.9591667","-89.63","2011","10","22","3","15","2011","12","12"
"wausau","WI","US","unknown","1200.0","object in sky over Wausau wisconsin&#44 not a plane.","44.9591667","-89.63","2009","9","7","18","45","2009","12","12"
"wautoma","WI","US","circle","3.0","Two bright lights in the evening sky","44.0747222","-89.2877778","2005","9","19","20","1","2005","10","11"
"wautoma","WI","US","circle","10.0","Two orange fire balls in line with each other&#44 one went out followed by the other. Both reappeared together two seconds later lasted ab","44.0747222","-89.2877778","2013","11","15","17","15","2013","11","20"
"wautoma","WI","US","fireball","900.0","Four orange fireballs seen over Wautoma&#44 WI","44.0747222","-89.2877778","2011","11","14","15","8","2011","12","12"
"wautoma","WI","US","light","2700.0","Four lighted objects with irregular flashing light with erractic flight pattern&#44 occasionally emitting bright flare like flashes.","44.0747222","-89.2877778","2005","9","21","21","0","2005","10","11"
"wautoma","WI","US","light","5.0","A bright kelly green light in the southern horizon.","44.0747222","-89.2877778","2007","5","1","21","0","2007","6","12"
"wautoma","WI","US","light","1200.0","A very close encounter with a UFO; right at the back window of my 1960 Corvair.","44.0747222","-89.2877778","1964","7","7","21","30","2008","3","31"
"wautoma","WI","US","sphere","120.0","Glowing silvery orb/sphere over Wautoma&#44 Wisconsin; numerous days and times","44.0747222","-89.2877778","2012","10","3","14","45","2012","10","30"
"wautoma","WI","US","triangle","300.0","12/18/08&#9;    I reside in central Wisconsin.  It is very rural about 70 miles east of Fort McCoy&#44 a military training base.   Last e","44.0747222","-89.2877778","2008","12","17","21","0","2009","1","10"
"wauwatosa","WI","US","cigar","60.0","It was very either very large or extremely close to the ground.  It was not moving.  It appeared to have 3 flashing lights spaced equal","43.0494444","-88.0075","1999","11","11","23","5","1999","11","17"
"wauwatosa","WI","US","circle","45.0","Orange fireballs in night sky","43.0494444","-88.0075","2012","9","28","23","0","2012","10","30"
"wauwatosa","WI","US","disk","600.0","It just hovered and we heard a humming noise","43.0494444","-88.0075","1971","7","17","21","0","2005","9","2"
"wauwatosa","WI","US","fireball","5.0","Bright green fireball&#44 no shared characteristics with meteors&#44 northwestern sky&#44 no trail.","43.0494444","-88.0075","2007","11","17","1","30","2007","11","28"
"wauwatosa","WI","US","sphere","300.0","Orange-Red spheres absent of sound flying through the night sky.","43.0494444","-88.0075","2012","6","10","21","35","2012","6","14"
"wauwatosa","WI","US","sphere","900.0","Saw three UFOs in the sky on a clear blue day.","43.0494444","-88.0075","1995","7","28","15","15","2006","2","14"
"west lima","WI","US","fireball","45.0","Green Fireball heading NNE accoss 56 1000 ft above county A.","44.6338889","-91.8727778","1999","11","16","18","2","1999","11","17"
"west milwaukee","WI","US","sphere","10.0","white orb/sphere moving across blue sky at a high rate of speed then changes direction","43.0388889","-87.9063889","2007","7","13","15","30","2007","8","7"
"west salem","WI","US","circle","5.0","Round sphere moving fast through the sky.","42.5547222","-88.1108333","2011","8","11","17","58","2011","8","21"
"westby","WI","US","triangle","60.0","triangle going due n.e from the middel of persious","43.6569444","-90.8541667","1999","8","13","3","58","1999","8","30"
"westfield","WI","US","light","300.0","Bright lights came out of no-where and were extremely loud.","43.8836111","-89.4933333","2014","1","8","17","30","2014","1","10"
"weyerhaeuser","WI","US","disk","900.0","one UFO meets 2 others","45.4236111","-91.4083333","1980","12","10","21","0","2003","11","26"
"white lake","WI","US","light","7200.0","Multiple LARGE red/orange lights flying irratically","45.1572222","-88.7644444","2010","8","16","21","0","2010","8","24"
"whitehall","WI","US","light","60.0","Single red light that did not flash.","44.3675","-91.3163889","2012","9","1","20","15","2012","9","24"
"whitewater","WI","US","cigar","30.0","cigar-shaped","42.8336111","-88.7322222","2007","9","13","23","0","2007","10","8"
"whitewater","WI","US","light","900.0","Red light in sky.","42.8336111","-88.7322222","2013","7","24","21","35","2013","8","30"
"willard","WI","US","circle","180.0","Two small orange glowing lights spotted traveling from west to east. No sound emitted&#44 and lights traveled in a static manner.","44.735","-90.7191667","2013","11","22","20","22","2013","12","2"
"wilson","WI","US","light","900.0","At night&#44 a group of about five independently-moving lights&#44 changing directions instantly in straight paths.","44.9536111","-92.1733333","1994","6","1","1","0","2007","2","1"
