"Location.City","Location.State","Location.Country","Data.Shape","Data.Encounter duration","Data.Description excerpt","Location.Coordinates.Latitude ","Location.Coordinates.Longitude ","Dates.Sighted.Year","Dates.Sighted.Month","Date.Sighted.Day","Dates.Sighted.Hour","Dates.Sighted.Minute","Dates.Documented.Year","Dates.Documented.Month","Dates.Documented.Day"
"san francisco","CA","US","rectangle","600.0","black shadowed rectangle bottom object came in from the west made U-turn back out to the west 23:27 11/15/08","37.775","-122.4183333","2008","11","15","23","27","2009","1","10"
"san francisco","CA","US","sphere","420.0","Soccer Balls over SF","37.775","-122.4183333","1998","10","1","10","0","2012","2","3"
"san francisco","CA","US","sphere","240.0","Small White Sphere Stops Above Transamerica Building and Then Floats Away","37.775","-122.4183333","2008","2","25","13","0","2008","3","31"
"san francisco","CA","US","sphere","1800.0","Major sighting over SanFranciso Ca. on 9-16-00. Object was seen for up to 30 mintues high up over south downtown SF.Bright shiny object","37.775","-122.4183333","2000","9","16","17","30","2000","9","21"
"san francisco","CA","US","sphere","3.0","Silent&#44 bright blue&#44 reflective orb headed straight to Ocean Beach in SF&#44 CA","37.775","-122.4183333","2013","8","1","20","14","2013","8","30"
"san francisco","CA","US","sphere","180.0","Small White Object Flies Over Golden Gate Park in Slight Wave Motion","37.775","-122.4183333","2008","3","2","14","0","2008","3","31"
"san francisco","CA","US","sphere","180.0","I saw a metallic sphere very bright almost like a star&#44 but it did not pulsate and it was daytime very clear skies.It appeared to be gl","37.775","-122.4183333","2009","1","13","11","15","2009","3","19"
"san francisco","CA","US","sphere","1200.0","coming down 24th st looking northwest across the goldengate.orbs in slightly curved line on the westside of the goldengate at approxima","37.775","-122.4183333","2010","10","13","21","0","2010","11","21"
"san francisco","CA","US","sphere","15.0","Two solid&#44 bright&#44 sphere shaped objects flying erractly and fast over Pac Heights&#44 San Francisco.","37.775","-122.4183333","2008","5","10","4","0","2008","6","12"
"san francisco","CA","US","sphere","900.0","5 pink/orange lights rising over Bernal Hill in San Francisco.","37.775","-122.4183333","2013","12","31","23","50","2014","1","10"
"san francisco","CA","US","sphere","900.0","Whitish/metallic sphere high in the sky over San Francisco CA.","37.775","-122.4183333","2013","10","2","11","45","2013","10","14"
"san francisco","CA","US","sphere","900.0","glowing ball just under the surf about 2 1/2 feet off the beach south of san francisco/ocean beach approx 9/94","37.775","-122.4183333","1994","9","1","18","0","2006","10","30"
"san francisco","CA","US","sphere","10.0","Two spheres seen near Sutro Tower-Twin Peaks in San Francisco&#44 CA.","37.775","-122.4183333","2013","5","12","14","25","2013","5","15"
"san francisco","CA","US","sphere","10.0","Coming from the South&#44 going towards North/Northwest. Maybe arcing downward. Very bright white intense light. Moving fast&#44 no sound...","37.775","-122.4183333","2006","4","30","20","10","2006","7","16"
"san francisco","CA","US","sphere","60.0","Red orb light hovers over couple in San Francisco&#44 CA 12/30/2011","37.775","-122.4183333","2011","12","30","22","30","2012","1","12"
"san francisco","CA","US","sphere","600.0","Yellow aura around bright red center low in sky and lossing the aura to then grow faint and rise up in the sky to vanish completly.","37.775","-122.4183333","2011","11","26","20","45","2011","12","12"
"san francisco","CA","US","sphere","0.5","UFO over San Francisco during eclipse 10/26/04","37.775","-122.4183333","2004","10","27","19","55","2004","11","2"
"san francisco","CA","US","teardrop","4.0","A very bright shooting star-like event over San Francisco.","37.775","-122.4183333","2005","3","30","22","28","2005","4","16"
"san francisco","CA","US","teardrop","60.0","At the moment i do not view the UFO&#44 when transfer the photos to the computer see it. There are 3 UFOs&#44 are composed by 9 o 10 little b","37.775","-122.4183333","2013","3","13","13","0","2013","7","3"
"san francisco","CA","US","triangle","8.0","Huge triangle of lights. Looked like really bright stars till it rotated and flew off almost like it was gliding. It made no noise and.","37.775","-122.4183333","2013","4","11","22","0","2013","5","15"
"san francisco","CA","US","triangle","7.0","It had a TRANGULAR SHAPE&#44 was DARK GRAY (lit by the moon light) with 3 ROUND CIRCLES ON IT&#39S BOTTOM","37.775","-122.4183333","2008","11","15","19","55","2009","1","10"
"san francisco","CA","US","triangle","7.0","UPDATED REPORT - PLEASE UPDATE PREVIOUS REPORT - THX - Triangle of lights flies over San Francisco","37.775","-122.4183333","2007","9","14","22","20","2007","10","8"
"san francisco","CA","US","triangle","8.0","Four of us witnessed a large triangular formation of lites moving westerly directly overhead.","37.775","-122.4183333","2000","12","30","22","0","2001","1","3"
"san francisco","CA","US","triangle","6.0","Sighting in San Francisco","37.775","-122.4183333","2008","6","19","21","30","2008","7","5"
"san francisco","CA","US","triangle","600.0","self-illuminated triangle-shaped craft flying in &quot;v&quot; formation","37.775","-122.4183333","2004","6","13","23","0","2004","6","18"
"san francisco","CA","US","triangle","300.0","Black silent triangle hovering over a field.","37.775","-122.4183333","2011","1","5","6","0","2011","1","5"
"san francisco","CA","US","triangle","240.0","2 luminous triangular shaped objects pulsating white and blue lights in sky for 3 to 4 minutes.","37.775","-122.4183333","2008","4","17","13","0","2008","6","12"
"san francisco","CA","US","triangle","1800.0","Boomerang Shaped Objects w/ dark &amp; light color scheme","37.775","-122.4183333","1996","10","6","13","0","2006","10","30"
"san francisco","CA","US","triangle","3.0","One triangular&#44 or arc shaped illuminated object moving arbitrarily south to north.","37.775","-122.4183333","2007","3","27","23","1","2007","4","27"
"san francisco","CA","US","triangle","3.0","Bright green triangle flying at tremendous speed&#44 creating a flash as it passed by the window.","37.775","-122.4183333","2000","8","19","22","15","2000","8","25"
"san francisco","CA","US","triangle","3.0","Triangle craft with lights seen over SF","37.775","-122.4183333","2011","9","26","21","40","2011","10","10"
"san francisco","CA","US","triangle","25.0","Triangular formation of dim lights spotted moving smoothly across San Francisco night sky.","37.775","-122.4183333","2008","9","23","0","15","2008","10","31"
"san francisco","CA","US","triangle","20.0","3 bright lights in triangle pattern stationary over SF Bay","37.775","-122.4183333","2008","2","16","18","15","2008","3","4"
